"client_id","gender","age","membership_id","membership_duration","visit_count","fitness_category_count","total_visit_cost","fitness_category_crossfit","fitness_category_goboxing","fitness_category_АКАДЕМИЯ_ИЛЬИНА","fitness_category_ВОСТОЧНЫЕ_ЕДИНОБОРСТВА","fitness_category_ГРУППОВЫЕ_ПРОГРАММЫ","fitness_category_ДЕТСКИЙ_КЛУБ","fitness_category_ТРЕНАЖЕРНЫЙ_ЗАЛ","fitness_category_СТУДИЯ_ЙОГИ_ШАКТИ","fitness_category_ВОДНЫЕ_ПРОГРАММЫ","active"
35,"0","10",1,"1780.0000000000000000","20","2","2214000.00",0,0,0,0,0,1,0,0,1,1
36,"0","25",10,"1607.0000000000000000","90","3","72856500.00",0,1,0,0,0,0,1,0,1,1
37,"1","21",7,"730.5000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
38,"0","34",4,"1260.7500000000000000","81","3","65570850.00",0,1,0,0,0,0,1,0,1,1
39,"0","7",2,"1674.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
40,"0","21",5,"13.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
41,"1","30",3,"10.0000000000000000","66","3","24919400.00",0,0,0,0,1,0,1,1,0,0
42,"0","58",10,"1763.0000000000000000","36","2","39728700.00",0,1,0,0,0,0,1,0,0,1
43,"0","21",3,"665.2500000000000000","30","2","18235500.00",0,0,0,0,0,0,1,0,1,0
44,"1","19",8,"1085.5000000000000000","75","3","60713750.00",0,1,0,0,0,0,1,0,1,1
45,"1","25",6,"1005.5000000000000000","108","4","46990800.00",1,0,0,0,0,0,1,1,1,1
46,"0","26",6,"365.2500000000000000","84","4","54462450.00",1,1,0,0,1,0,1,0,0,0
47,"1","37",5,"1034.5000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
48,"0","20",6,"1791.0000000000000000","0","3","0",0,0,0,0,0,0,0,0,0,1
49,"0","34",10,"658.2500000000000000","24","2","14588400.00",0,0,0,0,0,0,1,0,1,0
50,"1","32",10,"1368.7500000000000000","140","4","82094250.00",0,1,0,0,1,0,1,1,0,1
51,"0","12",2,"1339.7500000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
52,"1","38",10,"26.0000000000000000","81","3","30582900.00",0,0,0,0,1,0,1,1,0,0
53,"1","31",6,"663.2500000000000000","44","2","24919400.00",0,0,0,0,0,0,1,1,0,0
54,"1","23",9,"1660.0000000000000000","128","4","48608000.00",1,0,0,0,1,0,1,1,0,1
55,"1","16",3,"1313.7500000000000000","12","1","11931600.00",0,0,0,0,0,0,1,0,0,1
56,"0","30",5,"1864.2500000000000000","0","2","0",0,0,0,0,0,0,0,0,0,1
57,"1","7",1,"471.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0,0
58,"1","22",8,"1061.5000000000000000","52","2","29450200.00",0,0,0,0,0,0,1,1,0,1
59,"0","17",10,"1302.7500000000000000","69","3","55856650.00",0,1,0,0,0,0,1,0,1,1
60,"0","55",5,"1265.7500000000000000","60","2","66214500.00",0,1,0,0,0,0,1,0,0,1
61,"0","51",5,"1454.7500000000000000","100","4","60713750.00",0,1,0,0,1,0,1,0,1,1
62,"0","26",6,"1365.7500000000000000","18","1","17897400.00",0,0,0,0,0,0,1,0,0,1
63,"0","74",7,"292.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
64,"0","37",5,"935.5000000000000000","56","2","61800200.00",0,1,0,0,0,0,1,0,0,1
65,"0","21",10,"724.2500000000000000","58","2","64007350.00",0,1,0,0,0,0,1,0,0,1
66,"1","34",9,"894.5000000000000000","48","2","27184800.00",0,0,0,0,0,0,1,1,0,1
67,"0","33",5,"1527.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
68,"1","27",10,"1197.7500000000000000","42","2","23786700.00",0,0,0,0,0,0,1,1,0,1
69,"1","5",1,"1748.0000000000000000","20","2","2214000.00",0,0,0,0,0,1,0,0,1,1
70,"1","24",8,"725.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
71,"0","24",10,"1537.0000000000000000","168","4","114300900.00",1,1,0,1,0,0,1,0,0,1
72,"0","35",10,"1921.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
73,"1","34",8,"656.2500000000000000","148","4","86785350.00",0,1,0,0,1,0,1,1,0,0
74,"0","34",8,"1866.2500000000000000","0","2","0",0,0,0,0,0,0,0,0,0,1
75,"0","11",1,"1198.7500000000000000","22","2","2435400.00",0,0,0,0,0,1,0,0,1,1
76,"1","19",9,"1046.5000000000000000","92","4","31144300.00",0,0,0,0,1,0,1,1,1,0
77,"0","38",4,"725.2500000000000000","50","2","55178750.00",0,1,0,0,0,0,1,0,0,0
78,"1","13",1,"95.0000000000000000","22","2","2435400.00",0,0,0,0,0,1,0,0,1,0
79,"0","10",2,"696.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0,0
80,"0","12",2,"365.2500000000000000","24","2","2656800.00",0,0,0,0,0,1,0,0,1,0
81,"0","19",10,"666.2500000000000000","36","2","20201400.00",0,0,0,1,0,0,1,0,0,0
82,"1","21",4,"297.0000000000000000","80","4","27082000.00",0,0,0,0,1,0,1,1,1,0
83,"1","28",3,"1997.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
84,"1","32",7,"84.0000000000000000","88","4","29790200.00",0,0,0,0,1,0,1,1,1,0
85,"1","72",4,"1245.7500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
86,"1","38",3,"365.2500000000000000","40","2","22654000.00",0,0,0,0,0,0,1,1,0,0
87,"0","69",4,"1402.7500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
88,"1","31",9,"1416.7500000000000000","185","5","94977150.00",0,1,0,0,1,0,1,1,1,1
89,"1","51",6,"365.2500000000000000","51","3","19255900.00",0,0,0,0,1,0,1,1,0,0
90,"1","37",8,"365.2500000000000000","75","3","28317500.00",0,0,0,0,1,0,1,1,0,0
91,"0","24",8,"365.2500000000000000","24","2","14588400.00",0,0,0,0,0,0,1,0,1,0
92,"1","20",10,"1450.7500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
93,"0","31",3,"395.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
94,"0","51",5,"277.0000000000000000","19","1","18891700.00",0,0,0,0,0,0,1,0,0,0
95,"0","22",7,"365.2500000000000000","93","3","80396950.00",1,1,0,0,0,0,1,0,0,0
96,"0","25",9,"1733.0000000000000000","11","1","10937300.00",0,0,0,0,0,0,1,0,0,1
97,"1","49",9,"228.0000000000000000","0","3","0",0,0,0,0,0,0,0,0,0,0
98,"1","27",4,"1001.5000000000000000","75","3","33852500.00",0,0,0,0,0,0,1,1,1,1
99,"1","27",10,"657.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
100,"1","22",5,"1538.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
101,"0","29",5,"365.2500000000000000","48","3","35314400.00",0,1,0,0,1,0,1,0,0,0
102,"0","13",1,"1032.5000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,0
103,"0","23",5,"365.2500000000000000","44","2","48557300.00",0,1,0,0,0,0,1,0,0,0
104,"0","68",9,"1258.7500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
105,"0","8",1,"1650.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
106,"0","36",3,"1400.7500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
107,"0","4",2,"1891.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
108,"0","49",6,"876.5000000000000000","72","4","43713900.00",0,1,0,0,1,0,1,0,1,1
109,"0","37",8,"156.0000000000000000","0","2","0",0,0,0,0,0,0,0,0,0,0
110,"0","49",7,"977.5000000000000000","56","2","61800200.00",0,1,0,0,0,0,1,0,0,1
111,"0","30",9,"150.0000000000000000","0","3","0",0,0,0,0,0,0,0,0,0,0
112,"1","5",1,"365.2500000000000000","26","2","2878200.00",0,0,0,0,0,1,0,0,1,0
113,"0","31",8,"490.2500000000000000","44","2","30373200.00",1,0,0,0,0,0,1,0,0,0
114,"0","20",4,"1390.7500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
115,"1","19",8,"1173.7500000000000000","156","4","49167300.00",0,0,0,1,1,0,1,1,0,1
116,"0","38",10,"162.0000000000000000","34","2","37521550.00",0,1,0,0,0,0,1,0,0,0
117,"0","24",6,"1671.0000000000000000","18","1","17897400.00",0,0,0,0,0,0,1,0,0,1
118,"1","32",9,"730.5000000000000000","0","3","0",0,0,0,0,0,0,0,0,0,0
119,"1","6",1,"1539.0000000000000000","38","2","4206600.00",0,0,0,0,0,1,0,0,1,1
120,"0","24",5,"1486.0000000000000000","120","3","60344000.00",1,0,0,1,0,0,1,0,0,1
121,"1","74",7,"2056.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
122,"1","34",9,"730.5000000000000000","78","3","29450200.00",0,0,0,0,1,0,1,1,0,0
123,"1","63",4,"365.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
124,"1","37",4,"1509.0000000000000000","48","3","18123200.00",0,0,0,0,1,0,1,1,0,1
125,"0","4",1,"1281.7500000000000000","20","2","2214000.00",0,0,0,0,0,1,0,0,1,1
126,"1","21",4,"177.0000000000000000","66","3","24919400.00",0,0,0,0,1,0,1,1,0,0
127,"0","46",4,"1186.7500000000000000","42","2","46350150.00",0,1,0,0,0,0,1,0,0,1
128,"0","23",6,"1002.5000000000000000","54","2","59593050.00",0,1,0,0,0,0,1,0,0,1
129,"1","21",6,"840.5000000000000000","132","4","41603100.00",0,0,0,1,1,0,1,1,0,1
130,"1","24",7,"116.0000000000000000","165","5","57433200.00",1,0,0,0,1,0,1,1,1,0
131,"0","58",9,"343.0000000000000000","81","3","65570850.00",0,1,0,0,0,0,1,0,1,0
132,"0","41",7,"177.0000000000000000","36","2","39728700.00",0,1,0,0,0,0,1,0,0,0
133,"1","10",2,"1731.0000000000000000","36","2","3985200.00",0,0,0,0,0,1,0,0,1,1
134,"1","12",2,"1723.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
135,"0","30",6,"730.5000000000000000","32","2","22089600.00",1,0,0,0,0,0,1,0,0,0
136,"0","24",7,"1248.7500000000000000","120","4","84445500.00",1,1,0,0,0,0,1,0,1,1
137,"1","63",8,"365.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
138,"0","66",10,"940.5000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
139,"0","24",9,"1262.7500000000000000","135","3","116705250.00",1,1,0,0,0,0,1,0,0,1
140,"0","31",5,"365.2500000000000000","96","3","82990400.00",1,1,0,0,0,0,1,0,0,0
141,"1","29",9,"375.2500000000000000","104","4","60984300.00",0,1,0,0,1,0,1,1,0,0
142,"0","74",9,"1945.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
143,"0","11",2,"365.2500000000000000","20","2","2214000.00",0,0,0,0,0,1,0,0,1,0
144,"1","8",2,"365.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0,0
145,"1","23",9,"1581.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
146,"0","19",7,"365.2500000000000000","50","2","55178750.00",0,1,0,0,0,0,1,0,0,0
147,"0","11",1,"365.2500000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1,0
148,"0","29",10,"354.0000000000000000","50","2","34515000.00",1,0,0,0,0,0,1,0,0,0
149,"0","37",10,"730.5000000000000000","54","2","59593050.00",0,1,0,0,0,0,1,0,0,0
150,"1","9",1,"1627.0000000000000000","20","2","2214000.00",0,0,0,0,0,1,0,0,1,1
151,"1","17",4,"325.0000000000000000","16","1","15908800.00",0,0,0,0,0,0,1,0,0,0
152,"1","33",6,"365.2500000000000000","63","3","23786700.00",0,0,0,0,1,0,1,1,0,0
153,"0","48",5,"1052.5000000000000000","34","2","37521550.00",0,1,0,0,0,0,1,0,0,0
154,"0","26",4,"678.2500000000000000","44","2","48557300.00",0,1,0,0,0,0,1,0,0,0
155,"1","34",5,"929.5000000000000000","99","3","50127000.00",1,0,0,0,0,0,1,1,0,1
156,"1","21",4,"525.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
157,"1","58",5,"676.2500000000000000","102","3","79748700.00",0,1,0,0,0,0,1,1,0,1
158,"0","27",6,"365.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
159,"1","6",2,"1142.7500000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1,1
160,"1","34",4,"1814.0000000000000000","57","3","21521300.00",0,0,0,0,1,0,1,1,0,1
161,"0","63",6,"207.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
162,"1","24",5,"365.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
163,"1","14",1,"365.2500000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1,0
164,"0","29",9,"1470.0000000000000000","46","2","50764450.00",0,1,0,0,0,0,1,0,0,1
165,"0","29",10,"365.2500000000000000","12","1","11931600.00",0,0,0,0,0,0,1,0,0,0
166,"0","4",1,"879.5000000000000000","34","2","3763800.00",0,0,0,0,0,1,0,0,1,1
167,"0","35",3,"358.0000000000000000","102","3","79395100.00",0,1,0,1,0,0,1,0,0,0
168,"0","24",7,"1759.0000000000000000","42","2","46350150.00",0,1,0,0,0,0,1,0,0,1
169,"0","6",2,"1632.0000000000000000","0","2","0",0,0,0,0,0,0,0,0,0,1
170,"1","31",8,"1580.0000000000000000","50","2","28317500.00",0,0,0,0,0,0,1,1,0,1
171,"0","10",2,"365.2500000000000000","28","2","3099600.00",0,0,0,0,0,1,0,0,1,0
172,"0","19",3,"1374.7500000000000000","60","3","48571000.00",0,1,0,0,0,0,1,0,1,1
173,"0","31",8,"365.2500000000000000","12","1","11931600.00",0,0,0,0,0,0,1,0,0,0
174,"0","31",10,"715.2500000000000000","105","3","90770750.00",1,1,0,0,0,0,1,0,0,1
175,"0","13",2,"355.0000000000000000","22","2","2435400.00",0,0,0,0,0,1,0,0,1,0
176,"1","8",1,"730.5000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,0
177,"0","20",5,"912.5000000000000000","56","2","61800200.00",0,1,0,0,0,0,1,0,0,1
178,"0","8",2,"509.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0,0
179,"1","38",7,"369.2500000000000000","51","3","19255900.00",0,0,0,0,1,0,1,1,0,0
180,"1","12",1,"33.0000000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1,0
181,"1","34",10,"341.0000000000000000","75","3","28317500.00",0,0,0,0,1,0,1,1,0,0
182,"1","38",4,"1343.7500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
183,"0","21",5,"1225.7500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
184,"1","8",2,"1201.7500000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
185,"0","6",1,"365.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0,0
186,"0","23",4,"365.2500000000000000","0","2","0",0,0,0,0,0,0,0,0,0,0
187,"1","18",6,"1562.0000000000000000","84","3","65384200.00",0,1,0,1,0,0,1,0,0,1
188,"1","32",4,"724.2500000000000000","144","4","84439800.00",0,1,0,0,1,0,1,1,0,1
189,"0","31",7,"319.0000000000000000","12","1","11931600.00",0,0,0,0,0,0,1,0,0,0
190,"0","30",7,"679.2500000000000000","105","3","90770750.00",1,1,0,0,0,0,1,0,0,0
191,"0","31",9,"209.0000000000000000","20","2","12157000.00",0,0,0,0,0,0,1,0,1,0
192,"1","25",9,"676.2500000000000000","96","4","36456000.00",1,0,0,0,1,0,1,1,0,0
193,"0","34",8,"1519.0000000000000000","64","2","70628800.00",0,1,0,0,0,0,1,0,0,1
194,"1","31",10,"1077.5000000000000000","128","4","48608000.00",1,0,0,0,1,0,1,1,0,1
195,"1","28",4,"352.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
196,"0","21",4,"1959.2500000000000000","48","2","52971600.00",0,1,0,0,0,0,1,0,0,1
197,"0","13",2,"1070.5000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,0
198,"1","18",7,"236.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,0
199,"1","24",8,"179.0000000000000000","64","4","21665600.00",0,0,0,0,1,0,1,1,1,0
200,"0","37",5,"379.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
201,"0","32",7,"312.0000000000000000","78","3","57385900.00",0,1,0,0,1,0,1,0,0,0
202,"0","31",4,"358.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
203,"0","22",6,"365.2500000000000000","117","3","91070850.00",0,1,0,1,0,0,1,0,0,0
204,"0","7",2,"880.5000000000000000","28","2","3099600.00",0,0,0,0,0,1,0,0,1,1
205,"1","24",4,"294.0000000000000000","240","6","118130000.00",1,1,0,0,1,0,1,1,1,0
206,"1","70",10,"302.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
207,"0","38",3,"156.0000000000000000","14","1","13920200.00",0,0,0,0,0,0,1,0,0,0
208,"0","5",2,"365.2500000000000000","22","2","2435400.00",0,0,0,0,0,1,0,0,1,0
209,"0","47",8,"721.2500000000000000","93","3","68421650.00",0,1,0,0,1,0,1,0,0,1
210,"0","74",7,"656.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
211,"1","36",4,"1628.0000000000000000","60","3","22654000.00",0,0,0,0,1,0,1,1,0,1
212,"1","8",1,"971.5000000000000000","24","2","2656800.00",0,0,0,0,0,1,0,0,1,1
213,"0","22",6,"819.5000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
214,"1","37",10,"365.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
215,"1","25",10,"365.2500000000000000","102","3","79748700.00",0,1,0,0,0,0,1,1,0,0
216,"0","5",1,"911.5000000000000000","26","2","2878200.00",0,0,0,0,0,1,0,0,1,1
217,"0","22",9,"365.2500000000000000","99","3","77059950.00",0,1,0,1,0,0,1,0,0,0
218,"1","22",5,"1038.5000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
219,"0","10",2,"179.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,0
220,"0","46",9,"1171.7500000000000000","52","2","57385900.00",0,1,0,0,0,0,1,0,0,1
221,"0","17",9,"725.2500000000000000","99","3","77059950.00",0,1,0,1,0,0,1,0,0,0
222,"1","20",9,"365.2500000000000000","160","4","93822000.00",0,1,0,0,1,0,1,1,0,0
223,"1","7",2,"2004.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
224,"0","25",5,"1049.5000000000000000","215","5","126542550.00",1,1,0,1,0,0,1,0,1,0
225,"1","39",6,"700.2500000000000000","34","2","19255900.00",0,0,0,0,0,0,1,1,0,0
226,"1","12",1,"24.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,0
227,"0","16",5,"926.5000000000000000","90","3","70054500.00",0,1,0,1,0,0,1,0,0,1
228,"0","7",2,"1032.5000000000000000","24","2","2656800.00",0,0,0,0,0,1,0,0,1,1
229,"0","16",6,"1064.5000000000000000","12","1","11931600.00",0,0,0,0,0,0,1,0,0,0
230,"0","8",1,"1505.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
231,"0","32",4,"1394.7500000000000000","102","3","88177300.00",1,1,0,0,0,0,1,0,0,1
232,"1","47",3,"16.0000000000000000","72","3","27184800.00",0,0,0,0,1,0,1,1,0,0
233,"0","24",4,"1449.7500000000000000","114","3","98551100.00",1,1,0,0,0,0,1,0,0,1
234,"1","5",2,"1544.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
235,"1","31",7,"667.2500000000000000","60","3","22654000.00",0,0,0,0,1,0,1,1,0,0
236,"1","73",5,"365.2500000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
237,"0","15",9,"1751.0000000000000000","90","3","70054500.00",0,1,0,1,0,0,1,0,0,1
238,"0","36",4,"354.0000000000000000","52","2","57385900.00",0,1,0,0,0,0,1,0,0,0
239,"0","5",2,"2051.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
240,"1","32",7,"672.2500000000000000","195","5","106542150.00",1,1,0,0,1,0,1,1,0,0
241,"1","30",6,"1426.7500000000000000","69","3","26052100.00",0,0,0,0,1,0,1,1,0,1
242,"0","26",9,"730.5000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
243,"0","10",1,"672.2500000000000000","30","2","3321000.00",0,0,0,0,0,1,0,0,1,1
244,"0","28",3,"973.5000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
245,"0","27",6,"107.0000000000000000","52","2","35895600.00",1,0,0,0,0,0,1,0,0,0
246,"1","31",9,"1150.7500000000000000","116","4","44051000.00",1,0,0,0,1,0,1,1,0,1
247,"1","62",4,"1715.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
248,"0","21",7,"177.0000000000000000","16","1","15908800.00",0,0,0,0,0,0,1,0,0,0
249,"0","28",4,"365.2500000000000000","48","2","52971600.00",0,1,0,0,0,0,1,0,0,0
250,"1","21",3,"946.5000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,1
251,"0","8",2,"1712.0000000000000000","22","2","2435400.00",0,0,0,0,0,1,0,0,1,1
252,"1","65",5,"358.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
253,"0","36",8,"1245.7500000000000000","18","1","17897400.00",0,0,0,0,0,0,1,0,0,1
254,"0","35",10,"1740.0000000000000000","48","2","52971600.00",0,1,0,0,0,0,1,0,0,1
255,"0","65",3,"344.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
256,"0","35",3,"1411.7500000000000000","52","2","57385900.00",0,1,0,0,0,0,1,0,0,1
257,"0","6",2,"1790.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
258,"0","33",9,"177.0000000000000000","0","0","0",0,0,0,0,0,0,0,0,0,0
259,"0","17",7,"177.0000000000000000","44","2","24690600.00",0,0,0,1,0,0,1,0,0,0
260,"1","11",1,"1712.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
261,"0","7",2,"206.0000000000000000","26","2","2878200.00",0,0,0,0,0,1,0,0,1,0
262,"1","26",3,"1105.7500000000000000","57","3","21521300.00",0,0,0,0,1,0,1,1,0,1
263,"0","12",1,"365.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0,0
264,"0","10",2,"365.2500000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1,0
265,"0","19",5,"365.2500000000000000","160","4","93406000.00",0,1,0,1,1,0,1,0,0,0
266,"1","13",1,"365.2500000000000000","0","2","0",0,0,0,0,0,0,0,0,0,0
267,"0","13",2,"1693.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
268,"0","4",2,"365.2500000000000000","0","2","0",0,0,0,0,0,0,0,0,0,0
269,"0","12",2,"724.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0,0
270,"0","6",1,"1001.5000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
271,"1","55",7,"711.2500000000000000","69","3","26052100.00",0,0,0,0,1,0,1,1,0,1
272,"0","5",1,"666.2500000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1,0
273,"0","7",1,"93.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,0
274,"1","24",10,"1502.0000000000000000","195","5","106542150.00",1,1,0,0,1,0,1,1,0,1
275,"1","10",2,"312.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,0
276,"1","46",6,"516.2500000000000000","81","3","36560700.00",0,0,0,0,0,0,1,1,1,0
277,"1","27",3,"1936.2500000000000000","99","3","50127000.00",1,0,0,0,0,0,1,1,0,1
278,"0","9",1,"1680.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0,1
279,"0","34",4,"330.0000000000000000","58","2","64007350.00",0,1,0,0,0,0,1,0,0,0
